Bike,Seat Tube Length (Center-Top),Top Tube Length (Center-Center),Effective Top Tube Length (Center-Center),Head Tube Angle,Seat Tube Angle,BB Drop,Chainstay Length,Wheelbase,Standover Height,Head Tube Length,Fork Length,Fork Rake,Stack,Reach
Pugsley XL,22.0,23.6,24.6,70.5,72.0,2.2,17.6,43.8,33.6,5.9,17.6,1.7,24.1,16.7
Pugsley LG,20.0,22.9,24.0,70.5,72.0,2.2,17.6,43.2,32.3,5.1,17.6,1.7,23.4,16.4
Pugsley MD,18,22.3,23.4,70.5,72,2.2,17.6,42.6,31,4.4,17.6,1.7,22.7,16
Pugsley SM,16,21.8,22.9,70.5,72,2.2,17.6,42,29.9,4,17.6,1.7,22.3,15.6
Pugsley XS,14,21.5,22,70,73,2.2,17.6,41.8,28.9,3.7,17.6,1.7,22,15.3
Krampus XL,20.7,24.2,25.4,69.5,72.5,2.4,17.6,45.5,33.7,4.5,19,1.9,24.1,17.8
Krampus LG,18.7,23.5,24.8,69.5,72.5,2.4,17.6,44.8,32.5,3.9,19,1.9,23.6,17.4
Krampus MD,16.7,22.8,24,69.5,72.5,2.4,17.6,44,31.5,3.7,19,1.9,23.4,16.6
Krampus SM,14.8,22.1,23,69.5,72.5,2.4,17.6,43,30.4,3.5,19,1.9,23.2,15.7
ECR XXL,24,24.3,25.4,69.5,72.5,3.1,17.8,45.4,35,5.5,18.4,1.9,25.3,17.6
ECR XL,22,23.5,24.8,69.5,72.5,3.1,17.8,44.7,33.7,4.9,18.4,1.9,24.8,17.2
ECR LG,20,22.9,24.2,69.5,72.5,3.1,17.8,44.4,32.4,4.3,18.4,1.9,24.2,17.1
ECR MD,18,22.2,23.4,69.5,72.5,3.1,17.8,43.6,31.1,3.9,18.4,1.9,23.8,16.4
ECR SM,16,21.6,22.6,69.5,72.5,3.1,17.8,42.7,29.7,3.5,18.4,1.9,23.5,15.7
ECR XS,14,21.3,22,69.5,72.5,3.1,17.8,42.1,28.3,3.3,18.4,1.9,23.3,15.1
Cross-Check 62cm,24.4,24,24,72,72,2.6,16.7,41.5,34.1,7.1,15.7,1.7,24.1,16.2
Cross-Check 60cm,23.6,23.6,23.6,72,72,2.6,16.7,41.1,33.4,6.3,15.7,1.7,23.4,16
Cross-Check 58cm,22.8,22.8,22.8,72,72.5,2.6,16.7,40.5,32.7,5.6,15.7,1.7,22.7,15.7
Cross-Check 56cm,22,22.4,22.4,72,72.5,2.6,16.7,40.1,31.9,4.8,15.7,1.7,21.9,15.5
Cross-Check 54cm,21.3,22,22,72,73,2.6,16.7,39.9,31.2,4,15.7,1.7,21.2,15.5
Cross-Check 52cm,20.5,21.5,21.5,72,73.5,2.6,16.7,39.6,30.6,3.6,15.7,1.7,20.8,15.3
Cross-Check 50cm,19.7,21.1,21.3,72,74,2.6,16.7,39.6,30.3,3.6,15.7,1.7,20.8,15.3
Cross-Check 46cm,18.1,20.3,20.8,72,74.5,2.6,16.5,39.1,29.6,3.6,15.7,1.7,20.8,15
Cross-Check 42cm,16.5,19.9,20.6,72,75,2.6,16.5,39,28.8,3.6,15.7,1.7,20.8,14.9
Straggler 64cm,25.2,25.2,25.2,72.0,72.0,2.8,16.9,42.8,34.8,7.8,15.7,1.7,25.2,17.0
Straggler 62cm,24.4,24.5,24.6,72.0,72.0,2.8,16.9,42.2,34.1,7.3,15.7,1.7,24.7,16.6
Straggler 60cm,23.6,23.9,24.0,72.0,72.0,2.8,16.9,41.6,33.3,6.5,15.7,1.7,24.0,16.2
Straggler 58cm,22.8,23.4,23.4,72.0,72.5,2.8,16.9,41.2,32.6,5.7,15.7,1.7,23.3,16.1
Straggler 56cm,22.0,22.8,22.8,72.0,72.5,2.8,16.9,40.6,31.9,4.8,15.7,1.7,22.3,15.8
Straggler 54cm,21.3,22.2,22.2,72.0,73.0,2.8,16.7,40.0,31.2,4.2,15.7,1.7,21.6,15.6
Straggler 52cm,20.5,21.5,21.7,72.0,73.5,2.8,16.7,39.6,30.6,3.6,15.7,1.7,21.0,15.4
Straggler 50cm,19.7,20.7,21.1,72.0,74.0,2.8,16.7,39.2,30.3,3.6,15.7,1.7,21.0,15.0
Straggler 46cm,18.1,20.2,20.8,72.0,74.5,2.8,16.5,38.9,29.5,3.6,15.7,1.7,21.0,14.9
Straggler 42cm,16.5,19.8,20.5,72.0,75.0,2.8,16.5,38.8,28.7,3.6,15.7,1.7,21.0,14.8
Steamroller 62cm,24.4,23.9,23.9,74,73,2.8,15.7,39.7,34.1,7.7,14.8,1.5,24.3,16.6
Steamroller 59cm,23.2,23.1,23.1,74,73,2.8,15.7,38.9,32.9,6.4,14.8,1.5,23.1,16.1
Steamroller 56cm,22,22.4,22.4,73.5,73.5,2.8,15.7,38.5,31.8,5.4,14.8,1.5,22,15.8
Steamroller 53cm,20.9,21.5,21.5,73,74,2.8,15.7,38.1,30.7,4.3,14.8,1.5,20.9,15.5
Steamroller 49cm,19.3,20.7,20.8,72.5,74.5,2.8,15.7,38,29.5,3.3,14.8,1.5,19.9,15.3
Big Dummy XL,22.0,24.0,24.9,72.0,73.0,1.6,32.6,58.9,32.9,7.0,16.7,1.7,24.1,17.5
Big Dummy LG,20.0,23.2,24.2,72.0,73.0,1.6,32.6,58.1,31.6,6.3,16.7,1.7,23.4,17.0
Big Dummy MD,18.0,22.4,23.5,72.0,73.0,1.6,32.6,57.4,30.4,5.7,16.7,1.7,22.8,16.5
Big Dummy SM,16.0,21.7,22.6,72.0,73.0,1.6,32.6,56.5,29.1,5.2,16.7,1.7,22.3,15.7
